Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2017-03-20,"5 RFT: 200 m, Dumbbell Walking Lunges, and Dumbbell Thrusters",930000,true,false,68913,930000,15 mins 30 secs,Didn't get lapped,"5 rounds of:
Run, 200 m
12 Dumbbell Walking Lunges, 25 lbs
12 Dumbbell Thrusters, 25 lbs"
2017-03-20,Every 1 min for 10 mins: Hang Snatch High Pulls and Hang Squat Snatches,10.0,true,false,4387,600000,10.0 rounds,"","Every 1 min for 10 mins:
1 Hang Snatch High Pull, 85 lbs
1 Hang Squat Snatch, 85 lbs"
2017-03-20,Lifting: Weighted Strict Pull-ups and Weighted Strict Bar Dips,0.0,false,false,0,,"0 lbs | lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, and lbs",Purple band (medium),"Sets
3 Weighted Strict Pull-ups |  lbs
3 Weighted Strict Pull-ups |  lbs
3 Weighted Strict Pull-ups |  lbs
3 Weighted Strict Pull-ups |  lbs
3 Weighted Strict Pull-ups |  lbs
3 Weighted Strict Bar Dips |  lbs
3 Weighted Strict Bar Dips |  lbs
3 Weighted Strict Bar Dips |  lbs
3 Weighted Strict Bar Dips |  lbs
3 Weighted Strict Bar Dips |  lbs"
2017-03-17,CrossFit Games Open 16.4 / 17.4,165,true,false,65071,780000,165 reps,"Tie break 12:05, I attempt at hspu, happy I finished the row","AMReps in 13 mins:
55 Deadlifts, 155 lbs | 55 reps
55 Wall Balls, 14 lbs, 9 ft | 55 reps
55 Row Calories | 55 reps
55 Handstand Push-ups"
2017-03-15,"Chipper: Pistols (Alternating Legs)s, Wall Balls, Burpees, and Hang Power Snatches",750000,true,false,40195,750000,12 mins 30 secs,"","30 Pistols (Alternating Legs)s
30 Wall Balls, 14 lbs
30 Burpees, 4 in
30 Hang Power Snatches, 65 lbs"
2017-03-15,Thruster 5-5-5-3-3-3,1075.0139169,true,false,12804,,"2370 lbs | 95 lbs, 95 lbs, 95 lbs, 105 lbs, 105 lbs, and 105 lbs","","Sets
5 Thrusters | 95 lbs
5 Thrusters | 95 lbs
5 Thrusters | 95 lbs
3 Thrusters | 105 lbs
3 Thrusters | 105 lbs
3 Thrusters | 105 lbs"
2017-03-15,"""Tabata"" - AbMat Sit-ups : 8 x 20 secs / 10 secs",92,true,false,15150,240000,92 reps | 92,"","Tabata AbMat Sit-up | 12,11,12,12,11,11,12,11"
2017-03-14,"4 RFT: Power Cleans, Front Squats, and Burpees",1050000,true,false,70274,1050000,17 mins 30 secs,first set of squats unbroken then 9-3s,"4 rounds of:
10 Power Cleans, 105 lbs
12 Front Squats, 105 lbs
14 Burpees"
2017-03-14,Every 2 mins for 10 mins: Deadlift,1190.67997125,true,false,6719,600000,2625 lbs,,"Every 2 mins for 10 mins:
3 Deadlifts | 175 lbs
3 Deadlifts | 175 lbs
3 Deadlifts | 175 lbs
3 Deadlifts | 175 lbs
3 Deadlifts | 175 lbs"
2017-03-10,CrossFit Games Open 17.3 - Scaled / Scaled Teens 14-15 & Masters 55+,216,false,false,77414,1440000,216 reps,Tie-Break 18:06,"AMReps in 24 mins:
6 Jumping Pull-ups | 6 reps
6 Squat Snatches, 35 lbs | 6 reps
6 Jumping Pull-ups | 6 reps
6 Squat Snatches, 35 lbs | 6 reps
6 Jumping Pull-ups | 6 reps
6 Squat Snatches, 35 lbs | 6 reps
7 Jumping Pull-ups | 7 reps
5 Squat Snatches, 55 lbs | 5 reps
7 Jumping Pull-ups | 7 reps
5 Squat Snatches, 55 lbs | 5 reps
7 Jumping Pull-ups | 7 reps
5 Squat Snatches, 55 lbs | 5 reps
8 Jumping Pull-ups | 8 reps
4 Squat Snatches, 65 lbs | 4 reps
8 Jumping Pull-ups | 8 reps
4 Squat Snatches, 65 lbs | 4 reps
8 Jumping Pull-ups | 8 reps
4 Squat Snatches, 65 lbs | 4 reps
9 Jumping Pull-ups | 9 reps
3 Squat Snatches, 75 lbs | 3 reps
9 Jumping Pull-ups | 9 reps
3 Squat Snatches, 75 lbs | 3 reps
9 Jumping Pull-ups | 9 reps
3 Squat Snatches, 75 lbs | 3 reps
10 Jumping Pull-ups | 10 reps
2 Squat Snatches, 95 lbs | 2 reps
10 Jumping Pull-ups | 10 reps
2 Squat Snatches, 95 lbs | 2 reps
10 Jumping Pull-ups | 10 reps
2 Squat Snatches, 95 lbs | 2 reps
11 Jumping Pull-ups | 11 reps
1 Squat Snatch, 105 lbs | 1 rep
11 Jumping Pull-ups | 11 reps
1 Squat Snatch, 105 lbs | 1 rep
11 Jumping Pull-ups | 11 reps
1 Squat Snatch, 105 lbs | 1 rep"
2017-03-07,"3 RFT: Hang Power Clean & Jerks, Wall Balls, and Pull-ups",947000,true,false,47776,947000,15 mins 47 secs,"","3 rounds of:
14 Hang Power Clean & Jerks, 65 lbs
16 Wall Balls, 14 lbs
20 Pull-ups"
2017-03-07,Every 1 min for 7 mins: Thruster,1728.1869297,true,false,22862,420000,3810 lbs,last set was drop weight and go for max reps,"Every 1 min for 7 mins:
10 Thrusters | 85 lbs
7 Thrusters | 85 lbs
5 Thrusters | 85 lbs
3 Thrusters | 85 lbs
2 Thrusters | 85 lbs
1 Thruster | 85 lbs
22 Thrusters | 65 lbs"
2017-03-05,"""FGB Style"" - Dumbbell Thrusters, Airdyne Calories, Burpees, 2 and  more",314,false,false,74474,1125000,"314 reps | 46, 60, 70, 70, and 68 reps",,"5 rounds, 45 secs per station:
Dumbbell Thruster, 20 lbs
Rest 15 secs
Airdyne Calories
Rest 15 secs
Burpee
Rest 15 secs
Row Calories
Rest 15 secs
Double Under
Rest 15 secs"
2017-03-05,Every 1 min for 10 mins: Overhead Squat,566.9904625,true,false,4016,600000,1250 lbs,,"Every 1 min for 10 mins:
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs
1 Overhead Squat | 125 lbs"
2017-03-04,"AMRAP 7 mins: Single Arm Kettlebell Overhead Walking Lunges, Single Arm Kettlebell Overhead Walking Lunges, Single Arm Thrusters, 3 and  more",2.0,true,false,0,420000,2 rounds,12 kg,"7:00 AMRAP:
Single Arm Kettlebell Overhead Walking Lunge, 40 ft
Single Arm Kettlebell Overhead Walking Lunge, 40 ft
6 Single Arm Thrusters
6 Single Arm Thrusters
6 Single Leg Romanian Deadlifts
6 Single Leg Romanian Deadlifts"
2017-03-04,Tabata Barbell,223,true,false,55940,960000,223 reps | 50 + 33 + 64 + 76,,"Tabata Deadlift, 135 lbs | 8,8,7,5,5,6,5,6
Rest 1 min
Tabata Hang Power Clean, 95 lbs | 5,4,4,4,4,4,4,4
Rest 1 min
Tabata Front Squat, 55 lbs | 8,8,8,8,8,8,8,8
Rest 1 min
Tabata Push Press, 45 lbs | 12,12,10,8,8,8,8,10"
2017-03-04,Every 1:30 for 10:30: Back Squat,1047.7983747,true,false,6527,630000,2310 lbs,,"Every 1:30 for 10:30:
2 Back Squats | 165 lbs
2 Back Squats | 165 lbs
2 Back Squats | 165 lbs
2 Back Squats | 165 lbs
2 Back Squats | 165 lbs
2 Back Squats | 165 lbs
2 Back Squats | 165 lbs"
2017-03-03,CrossFit Games Open 17.2,78,true,false,2097,720000,78 reps,,"AMReps in 12 mins:
10 Dumbbell Front Rack Walking Lunges, 35 lbs, 5 ft | 10 reps
16 Toes-to-bars | 16 reps
8 Dumbbell Power Cleans, 35 lbs | 8 reps
10 Dumbbell Front Rack Walking Lunges, 35 lbs, 5 ft | 10 reps
16 Toes-to-bars | 16 reps
8 Dumbbell Power Cleans, 35 lbs | 8 reps
10 Dumbbell Front Rack Walking Lunges, 35 lbs, 5 ft | 10 reps
16 Bar Muscle-ups
8 Dumbbell Power Cleans, 35 lbs
10 Dumbbell Front Rack Walking Lunges, 35 lbs, 5 ft
16 Bar Muscle-ups
8 Dumbbell Power Cleans, 35 lbs
10 Dumbbell Front Rack Walking Lunges, 35 lbs, 5 ft
16 Toes-to-bars
8 Dumbbell Power Cleans, 35 lbs
10 Dumbbell Front Rack Walking Lunges, 35 lbs, 5 ft
16 Toes-to-bars
8 Dumbbell Power Cleans, 35 lbs"
2017-03-01,3 RFT: Sumo Deadlift High-pulls and Wall Balls,455000,true,false,34850,455000,7 mins 35 secs,"","3 rounds of:
20 Sumo Deadlift High-pulls, 55 lbs
20 Wall Balls, 10 lbs, 9 ft"
2017-03-01,Every 1:30 for 10:30: Front Squat,793.7866475,true,false,5622,630000,1750 lbs,,"Every 1:30 for 10:30:
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs"
2017-02-28,"Every 1 min for 10 mins: Snatch Lift Offs, Snatch High Pulls, and Snatches",10.0,true,false,7601,600000,10.0 rounds,"","Every 1 min for 10 mins:
1 Snatch Lift Off, 95 lbs
1 Snatch High Pull, 95 lbs
1 Snatch, 95 lbs"
2017-02-28,"FT: Rows, Lateral Burpee (Over Barbell)s, Overhead Squats, and 6 more",928000,true,false,93708,928000,15 mins 28 secs,"","Row, 500 m
21 Lateral Burpee (Over Barbell)s
21 Overhead Squats, 55 lbs
Row, 500 m
15 Lateral Burpee (Over Barbell)s
15 Overhead Squats, 55 lbs
Row, 500 m
9 Lateral Burpee (Over Barbell)s
9 Overhead Squats, 55 lbs"
2017-02-28,Every 1:30 for 10:30: Deadlift,1111.3013065,true,false,6271,630000,2450 lbs,,"Every 1:30 for 10:30:
2 Deadlifts | 175 lbs
2 Deadlifts | 175 lbs
2 Deadlifts | 175 lbs
2 Deadlifts | 175 lbs
2 Deadlifts | 175 lbs
2 Deadlifts | 175 lbs
2 Deadlifts | 175 lbs"
2017-02-28,Alt EMOM 12 mins: Strict Handstand Push-ups and Strict Muscle-up s,5201,false,false,5201,720000,Completed,"25# DB seated press, transition with medium band","Every 1 min for 12 mins, alternating between:
5 Strict Handstand Push-ups
3 Strict Muscle-up s"
2017-02-27,"10-9-8-7-6-5-4-3-2-1: AbMat Sit-ups, Hand Release Push-Ups, and Pull-ups",597000,true,false,39922,597000,9 mins 57 secs,"","10-9-8-7-6-5-4-3-2-1 reps of:
AbMat Sit-up
Hand Release Push-Up
Pull-up"
2017-02-26,"AMRAP 12 mins: Kettlebell Swings, Wall Balls, Ring Rows and Double Unders",2.438,true,false,38680,720000,2 rounds + 20 Kettlebell Swings + 15 Wall Balls | 235 reps,,"12:00 AMRAP:
20 Kettlebell Swings, 16 kg
20 Wall Balls, 14 lbs, 10 ft
10 Ring Rows
50 Double Unders"
2017-02-26,Every 1:30 for 10:30: Overhead Squat,730.2837157,true,false,5396,630000,1610 lbs,,"Every 1:30 for 10:30:
2 Overhead Squats | 115 lbs
2 Overhead Squats | 115 lbs
2 Overhead Squats | 115 lbs
2 Overhead Squats | 115 lbs
2 Overhead Squats | 115 lbs
2 Overhead Squats | 115 lbs
2 Overhead Squats | 115 lbs"
2017-02-26,Every 1 min for 15 mins: Squat Snatch,653.1730128,true,false,11480,900000,1440 lbs,,"Every 1 min for 15 mins:
1 Squat Snatch | 65 lbs
1 Squat Snatch | 85 lbs
1 Squat Snatch | 85 lbs
1 Squat Snatch | 95 lbs
1 Squat Snatch | 95 lbs
1 Squat Snatch | 95 lbs
1 Squat Snatch | 95 lbs
1 Squat Snatch | 95 lbs
1 Squat Snatch | 100 lbs
1 Squat Snatch | 100 lbs
1 Squat Snatch | 100 lbs
1 Squat Snatch | 105 lbs
1 Squat Snatch | 105 lbs
1 Squat Snatch | 110 lbs
1 Squat Snatch | 110 lbs"
2017-02-24,CrossFit Games Open 17.1,1216000,true,false,66764,1216000,20 mins 16 secs,"209 in 20 min, 10:35 tiebreak, finished the workout to just complete it, total time 22:11","10 Dumbbell Snatches, 35 lbs
15 Burpee Box Jump Overs, 20 in
20 Dumbbell Snatches, 35 lbs
15 Burpee Box Jump Overs, 20 in
30 Dumbbell Snatches, 35 lbs
15 Burpee Box Jump Overs, 20 in
40 Dumbbell Snatches, 35 lbs
15 Burpee Box Jump Overs, 20 in
50 Dumbbell Snatches, 35 lbs
15 Burpee Box Jump Overs, 20 in"
2017-02-22,"3 RFT: 800 m, Knees-to-chests, and Kettlebell Swing (American)s",1447000,true,false,82443,1447000,24 mins 7 secs,"","3 rounds of:
Run, 800 m
21 Knees-to-chests
15 Kettlebell Swing (American)s, 35 lbs"
2017-02-21,"FT: Clean & Jerks, Double Unders, Burpees, and 2 more",885000,true,false,58976,885000,14 mins 45 secs,"","20 Clean & Jerks, 95 lbs
100 Double Unders
20 Burpees
100 Double Unders
20 Clean & Jerks, 95 lbs"
2017-02-21,Power Clean : 1 Rep Max,70.30681735,true,false,826,,155 lbs | 155 lbs,6 min to find a 1rm,"Sets
1 Power Clean | 155 lbs"
2017-02-10,CrossFit Games Open 12.2,66,true,false,40191,600000,66 reps,,"AMReps in 10 mins:
30 Snatches, 45 lbs | 30 reps
30 Snatches, 75 lbs | 30 reps
30 Snatches, 100 lbs | 6 reps
Snatch, 120 lbs"
2017-02-05,"AMRAP 30 mins: 400 m, Burpee Box Jump Overs, Weighted AbMat Sit-ups, and 2 more",2.3,true,false,75004,1800000,2 rounds + 400 m + 10 Burpee Box Jump Overs,"","30:00 AMRAP:
Run, 400 m
20 Burpee Box Jump Overs, 20 in
20 Weighted AbMat Sit-ups, 10 lbs
40 Side Plank Lifts
Row, 500 m"
2017-02-01,5x RFT: Wall Balls and Clean & Jerks,759000,true,false,77110,759000,"12 mins 39 secs | (2 mins 3 secs), (2 mins 41 secs), (2 mins 30 secs), (2 mins 46 secs), and (2 mins 39 secs)","Singles on c&j, 20-5 on WBs first set unbroken ","5 rounds, each round for time, of:
25 Wall Balls, 14 lbs, 9 ft
12 Clean & Jerks, 75 lbs
Resting 3 mins between each round."
2017-01-30,"6 RFT: 200 m, Power Snatches, and Burpees",1750000,true,false,107637,1750000,29 mins 10 secs,Burped to plate,"6 rounds of:
Run, 200 m
12 Power Snatches, 65 lbs
12 Burpees, 4 in"
2017-01-27,CrossFit Games Open 12.4 / 13.3,202,true,false,34253,720000,202 reps,Wall all split 9:10,"AMReps in 12 mins:
150 Wall Balls | 150 reps
90 Double Unders | 52 reps
30 Muscle Ups"
2016-12-23,"21-15-9: Pull-ups, Snatches, and Row Calories",1147000,true,false,61352,1147000,19 mins 7 secs,"","21-15-9 reps of:
Pull-up
Snatch, 65 lbs
Row Calories"
2016-12-22,Back Squat 3-3-3-1-1-1,925.3284348,true,false,5692,,"2040 lbs | 145 lbs, 160 lbs, 175 lbs, 190 lbs, 200 lbs, and 210 lbs","","Sets
3 Back Squats | 145 lbs
3 Back Squats | 160 lbs
3 Back Squats | 175 lbs
1 Back Squat | 190 lbs
1 Back Squat | 200 lbs
1 Back Squat | 210 lbs"
2016-12-22,"AMRAP 10 mins: Hand Release Push-Ups, Box Jumps, and Pistols (Alternating Legs)s",3.033,true,false,23372,600000,3 rounds + Hand Release Push-Up | 91 reps,"","10:00 AMRAP:
10 Hand Release Push-Ups
10 Box Jumps, 20 in
10 Pistols (Alternating Legs)s"
2016-12-15,"3 RFT: Rows, Kettlebell Swing (American)s, and Pull-ups",1061000,true,false,85033,1061000,17 mins 41 secs,"","3 rounds of:
Row, 500 m
24 Kettlebell Swing (American)s, 35 lbs
12 Pull-ups"
2016-09-19,Nancy,1101000,true,false,83059,1101000,18 mins 21 secs,"Raining outside, bar further than I normally have it from the run start, at Crossfit Burke ","5 rounds of:
Run, 400 m
15 Overhead Squats, 65 lbs"
2016-09-13,Every 2 mins for 10 mins: Deadlift,1984.46661875,true,false,11243,600000,4375 lbs,,"Every 2 mins for 10 mins:
5 Deadlifts | 155 lbs
5 Deadlifts | 165 lbs
5 Deadlifts | 175 lbs
5 Deadlifts | 185 lbs
5 Deadlifts | 195 lbs"
2016-09-13,"AMRAP 12 mins: Dumbbell Snatches, Ball Slams and 200 m",3.383,false,false,35975,720000,3 rounds + 10 Dumbbell Snatches + 3 Ball Slams,,"12:00 AMRAP:
10 Dumbbell Snatches, 35 lbs
20 Ball Slams
Run, 200 m"
2016-09-11,"5 RFT: Wall Balls, Burpees and Toes-to-bars",515000,false,false,33132,515000,8 mins 35 secs,"3 rds, WB 20# to 8', 90degree leg raises as sub for T2B, too much rotation on shoulder to get feet to bar","3 rounds of:
20 Wall Balls, 20 lbs
10 Burpees
7 Hanging Leg Raises"
2016-09-11,Every 2 mins for 10 mins: Front Squat,1281.39844525,true,false,9645,600000,2825 lbs,,"Every 2 mins for 10 mins:
5 Front Squats | 85 lbs
5 Front Squats | 105 lbs
5 Front Squats | 115 lbs
5 Front Squats | 125 lbs
5 Front Squats | 135 lbs"
2016-09-10,Every 2 mins for 10 mins: Shoulder Press,873.16531225,true,false,3398,600000,1925 lbs,"Used reverse grip, felt better on my shoulder overhead with that grip","Every 2 mins for 10 mins:
7 Shoulder Press | 45 lbs
7 Shoulder Press | 50 lbs
7 Shoulder Press | 55 lbs
7 Shoulder Press | 60 lbs
7 Shoulder Press | 65 lbs"
2016-09-09,Every 2 mins for 10 mins: Back Squat,1778.0820904,true,false,13446,600000,3920 lbs,,"Every 2 mins for 10 mins:
7 Back Squats | 85 lbs
7 Back Squats | 100 lbs
7 Back Squats | 115 lbs
7 Back Squats | 125 lbs
7 Back Squats | 135 lbs"
2016-09-09,"7 RFT: Push-ups, Clean & Jerks and Muscle-ups",900000,false,false,21344,900000,15 mins,5 rds in time cap,"5 rounds of:
15 Push-up (knees)s
5 Clean & Jerks, 65 lbs
3 Chest-to-bar Pull-ups"
2016-09-09,Barbell Rollouts : 3x10,0,true,false,0,,Completed,,"Sets
10 Barbell Rollouts
10 Barbell Rollouts
10 Barbell Rollouts"
2016-09-06,Every 2 mins for 10 mins: Front Squat,1492.3188973,true,false,12428,600000,3290 lbs,,"Every 2 mins for 10 mins:
7 Front Squats | 75 lbs
7 Front Squats | 85 lbs
7 Front Squats | 95 lbs
7 Front Squats | 105 lbs
7 Front Squats | 110 lbs"
2016-09-06,TK,3.5,false,false,25310,1200000,3 rounds + 8 Strict Pull-up (band)s + 4 Box Jumps | 96 reps,"Pull ups with band, kbs with two Dumbbells ","20:00 AMRAP:
8 Strict Pull-up (band)s
8 Box Jumps, 36 in
12 Kettlebell Swings, 1.5 pood"
2016-09-06,AbMat Sit-up : 100 Reps for Time,282000,true,false,16765,282000,4 mins 42 secs,,100 AbMat Sit-ups
2016-09-04,Every 2 mins for 10 mins: Overhead Squat,1174.8042383,true,false,11297,600000,2590 lbs,"First OHS in a while due to shoulder issues, felt ok today ","Every 2 mins for 10 mins:
7 Overhead Squats | 55 lbs
7 Overhead Squats | 65 lbs
7 Overhead Squats | 75 lbs
7 Overhead Squats | 85 lbs
7 Overhead Squats | 90 lbs"
2016-09-04,Alt EMOM 12 mins: Strict Pull-ups and Strict Bar Dips,17140,false,false,17140,720000,Completed,"Pull-ups with red band, subbed push ups on Dumbbells for the dips, dips are still too much pressure for my shoulder, but getting close, will test again next week","Every 1 min for 12 mins, alternating between:
5 Strict Pull-ups
5 Push-ups"
2016-09-03,21-18-15-12-9-6-3: Front Squats and Burpee Over Bars,1075000,false,false,68020,1075000,17 mins 55 secs,,"21-18-15-12-9-6-3 reps of:
Front Squat, 65 lbs
Burpee Over Bar"
2016-09-02,"Chipper: Bikes, Double Kettlebell Push Press, Deadlifts, 4 and  more",1045000,false,false,19257,1045000,17 mins 25 secs,,"Bike, 500 m
30 Double Kettlebell Push Press, 25 lbs
20 Deadlifts, 155 lbs
10 Feet Elevated Ring Rows
20 Wall Balls, 20 lbs
30 AbMat Sit-ups
Bike, 500 m"
2016-08-31,"3 RFT: Push Press, Front Rack Walking Lunges, Sumo Deadlift High-pulls and Overhead Walking Lunges",806000,false,false,18303,806000,13 mins 26 secs,Front on both sets of lunges due to shoulder pain over head.  Light strict press with Dumbbells for push press,"3 rounds of:
15 Dumbbell Shoulder Press, 12 lbs
Front Rack Walking Lunge, 65 lbs, 40 ft
15 Sumo Deadlift High-pulls, 65 lbs
Front Rack Walking Lunge, 65 lbs, 40 ft"
2016-08-31,"AMRAP 20 mins: Handstand Walks, Ring Dips and L Sits",4.667,false,false,0,1200000,4 rounds + 10 Plank Walk Out Holds + 10 Push-up (knees)s,Modified to shoulder pain.  Alternated hanging and parrallette knee tuck,"20:00 AMRAP:
10 Plank Walk Out Holds
10 Push-up (knees)s
Knee Tuck, 30 secs"
2016-08-30,"AMRAP 15 mins: Handstand Push-ups, Pull-ups, Bench Press and Ring Rows",5.339,false,false,25651,900000,5 rounds + 7 Dumbbell Shoulder Press + 5 Pull-ups | 222 reps,"Easing back into things after working on some shoulder rehab. Dumbbell press felt good.  Bench done as floor press so arms only to 90.  Ring rows at about 45, pull ups modified by doing pvc pipe band pull to chin","15:00 AMRAP:
7 Dumbbell Shoulder Press, 12 lbs
14 Pull-ups
7 Bench Press, 55 lbs
14 Ring Rows"
2016-08-28,2014 CrossFit Games - Triple 3,3341000,false,false,170050,3341000,55 mins 41 secs,"No rower, so subbed in bike","Bike, 3 mi
300 Double Unders
Run, 3 mi"
2016-08-14,5 RFT: Dumbbell Snatches and 200 m,975000,false,false,68056,975000,16 mins 15 secs,1st workout in a while,"5 rounds of:
16 Dumbbell Snatches, 40 lbs
Run, 200 m"
2016-07-30,FT: Dumbbell Thrusters and Muscle-ups,455000,false,false,10234,455000,7 mins 35 secs,"At park, subbed back squats with bike on back and burpee chest to bar pull-ups on a soccer goal","21 Back Squats, 15 lbs
9 Burpee Chest-to-bar Pull-up s
15 Back Squats, 15 lbs
6 Burpee Chest-to-bar Pull-up s
9 Back Squats, 15 lbs
3 Burpee Chest-to-bar Pull-up s"
2016-07-30,"""Tabata"" - Double Unders : 8 x 20 secs / 10 secs",195,true,false,16478,240000,195 reps | 195,"Only one round unbroken, ugh","Tabata Double Under | 37,28,23,20,28,24,15,20"
2016-07-29,Every 1 min for 10 mins: Back Squat,1593.92358818,true,false,9742,600000,3514 lbs,,"Every 1 min for 10 mins:
2 Back Squats | 145 lbs
2 Back Squats | 155 lbs
2 Back Squats | 165 lbs
2 Back Squats | 170 lbs
2 Back Squats | 175 lbs
2 Back Squats | 180 lbs
2 Back Squats | 185 lbs
2 Back Squats | 190 lbs
2 Back Squats | 192 lbs
2 Back Squats | 200 lbs"
2016-07-27,"4 RFT: Handstand Push-ups, Rope Climbs and Air Squats",1325000,false,false,19506,1325000,22 mins 5 secs,"Rope climbs took a while, but I got all of them","4 rounds of:
8 Kettlebell Push Press, 35 lbs
3 Rope Climbs
24 Air Squats"
2016-07-27,5 RFT: 400 m,1496000,true,false,59942,1496000,24 mins 56 secs,,"5 rounds of:
Run, 400 m
Rest 3 mins"
2016-07-26,Every 1 min for 10 mins: Clean Pull,648.6370891,true,false,0,600000,1430 lbs,,"Every 1 min for 10 mins:
1 Clean Pull | 105 lbs
1 Clean Pull | 115 lbs
1 Clean Pull | 125 lbs
1 Clean Pull | 135 lbs
1 Clean Pull | 145 lbs
1 Clean Pull | 155 lbs
1 Clean Pull | 155 lbs
1 Clean Pull | 160 lbs
1 Clean Pull | 165 lbs
1 Clean Pull | 170 lbs"
2016-07-26,Every 1 min for 15 mins: Pause Clean,832.34199895,true,false,0,900000,1835 lbs,,"Every 1 min for 15 mins:
1 Pause Clean | 105 lbs
1 Pause Clean | 105 lbs
1 Pause Clean | 115 lbs
1 Pause Clean | 115 lbs
1 Pause Clean | 125 lbs
1 Pause Clean | 125 lbs
1 Pause Clean | 135 lbs
1 Pause Clean | 135 lbs
1 Pause Clean | 145 lbs
1 Pause Clean | 145 lbs
1 Pause Clean | 145 lbs
0 Pause Cleans | 145 lbs
1 Pause Clean | 145 lbs
1 Pause Clean | 145 lbs
1 Pause Clean | 150 lbs"
2016-07-26,Every 1 min for 10 mins: Front Squat,1202.0197805,true,false,8370,600000,2650 lbs,"Woo lower back was fatigued from the cleans, wanted to go heavier but this was what I had for today","Every 1 min for 10 mins:
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs
2 Front Squats | 125 lbs
2 Front Squats | 130 lbs
2 Front Squats | 130 lbs
2 Front Squats | 130 lbs
2 Front Squats | 135 lbs
2 Front Squats | 135 lbs
2 Front Squats | 145 lbs
2 Front Squats | 145 lbs"
2016-07-26,Annie,412000,true,false,38046,412000,6 mins 52 secs,"Sub 6 will have to wait for another day, no misses on dubs","50-40-30-20-10 reps of:
Double Under
AbMat Sit-up"
